fantasy_team,player_name,mlb_team,position,eligible_positions,scraped_at
I Like BIG Bunts,Austin Wells,NYY,,,2025-11-06T13:32:04.870969
I Like BIG Bunts,Vinnie Pasquantino,KC,,,2025-11-06T13:32:04.870996
I Like BIG Bunts,Xavier Edwards,MIA,,,2025-11-06T13:32:04.871006
I Like BIG Bunts,Maikel Garcia,KC,,,2025-11-06T13:32:04.871014
I Like BIG Bunts,Geraldo Perdomo,AZ,,,2025-11-06T13:32:04.871021
I Like BIG Bunts,Elly De La Cruz,CIN,,,2025-11-06T13:32:04.871028
I Like BIG Bunts,Aaron Judge,NYY,,,2025-11-06T13:32:04.871034
I Like BIG Bunts,Daulton Varsho,TOR,,,2025-11-06T13:32:04.871040
I Like BIG Bunts,Adolis García,TEX,,,2025-11-06T13:32:04.871046
I Like BIG Bunts,Brandon Nimmo,NYM,,,2025-11-06T13:32:04.871055
I Like BIG Bunts,Vladimir Guerrero Jr.,TOR,,,2025-11-06T13:32:04.871062
I Like BIG Bunts,Jurickson Profar,ATL,,,2025-11-06T13:32:04.871068
I Like BIG Bunts,Gleyber Torres,DET,,,2025-11-06T13:32:04.871075
I Like BIG Bunts,Taylor Ward,LAA,,,2025-11-06T13:32:04.871081
I Like BIG Bunts,Alejandro Kirk,TOR,,,2025-11-06T13:32:04.871087
I Like BIG Bunts,Mickey Moniak,COL,,,2025-11-06T13:32:04.871092
I Like BIG Bunts,Lawrence Butler,ATH,,,2025-11-06T13:32:04.871099
I Like BIG Bunts,Wilyer Abreu,BOS,,,2025-11-06T13:32:04.871105
I Like BIG Bunts,Keegan Akin,BAL,,,2025-11-06T13:32:04.871111
I Like BIG Bunts,Jacob Misiorowski,MIL,,,2025-11-06T13:32:04.871117
I Like BIG Bunts,Pete Fairbanks,TB,,,2025-11-06T13:32:04.871123
I Like BIG Bunts,Hunter Gaddis,CLE,,,2025-11-06T13:32:04.871129
I Like BIG Bunts,Emilio Pagán,CIN,,,2025-11-06T13:32:04.871135
I Like BIG Bunts,Brendon Little,TOR,,,2025-11-06T13:32:04.871141
I Like BIG Bunts,Andrew Kittredge,BAL,,,2025-11-06T13:32:04.871147
I Like BIG Bunts,Calvin Faucher,MIA,,,2025-11-06T13:32:04.871154
I Like BIG Bunts,Ranger Suárez,PHI,,,2025-11-06T13:32:04.871160
I Like BIG Bunts,Cam Schlittler,NYY,,,2025-11-06T13:32:04.871166
I Like BIG Bunts,Luis Morales,ATH,,,2025-11-06T13:32:04.871172
I Like BIG Bunts,Andrew Saalfrank,AZ,,,2025-11-06T13:32:04.871177
I Like BIG Bunts,Willson Contreras,STL,,,2025-11-06T13:32:04.871184
I Like BIG Bunts,Sean Newcomb,ATH,,,2025-11-06T13:32:04.871190
Pure Uncut Adam West,William Contreras,MIL,,,2025-11-06T13:32:05.227737
Pure Uncut Adam West,Andrew Vaughn,MIL,,,2025-11-06T13:32:05.227760
Pure Uncut Adam West,Brice Turang,MIL,,,2025-11-06T13:32:05.227766
Pure Uncut Adam West,Max Muncy,LAD,,,2025-11-06T13:32:05.227772
Pure Uncut Adam West,Trevor Story,BOS,,,2025-11-06T13:32:05.227778
Pure Uncut Adam West,Matt Shaw,CHC,,,2025-11-06T13:32:05.227785
Pure Uncut Adam West,Bryson Stott,PHI,,,2025-11-06T13:32:05.227790
Pure Uncut Adam West,Seiya Suzuki,CHC,,,2025-11-06T13:32:05.227796
Pure Uncut Adam West,Wyatt Langford,TEX,,,2025-11-06T13:32:05.227802
Pure Uncut Adam West,Corbin Carroll,AZ,,,2025-11-06T13:32:05.227807
Pure Uncut Adam West,Cody Bellinger,NYY,,,2025-11-06T13:32:05.227813
Pure Uncut Adam West,Oneil Cruz,PIT,,,2025-11-06T13:32:05.227819
Pure Uncut Adam West,Matt Chapman,SF,,,2025-11-06T13:32:05.227826
Pure Uncut Adam West,Colson Montgomery,CWS,,,2025-11-06T13:32:05.227832
Pure Uncut Adam West,Zach McKinstry,DET,,,2025-11-06T13:32:05.227838
Pure Uncut Adam West,Adley Rutschman,BAL,,,2025-11-06T13:32:05.227844
Pure Uncut Adam West,Paul Skenes,PIT,,,2025-11-06T13:32:05.227849
Pure Uncut Adam West,Hunter Brown,HOU,,,2025-11-06T13:32:05.227855
Pure Uncut Adam West,Freddy Peralta,MIL,,,2025-11-06T13:32:05.227860
Pure Uncut Adam West,David Bednar,NYY,,,2025-11-06T13:32:05.227865
Pure Uncut Adam West,Will Vest,DET,,,2025-11-06T13:32:05.227871
Pure Uncut Adam West,Mason Miller,SD,,,2025-11-06T13:32:05.227876
Pure Uncut Adam West,Abner Uribe,MIL,,,2025-11-06T13:32:05.227881
Pure Uncut Adam West,Jesús Luzardo,PHI,,,2025-11-06T13:32:05.227886
Pure Uncut Adam West,Andrew Abbott,CIN,,,2025-11-06T13:32:05.227891
Pure Uncut Adam West,Jacob Misiorowski,MIL,,,2025-11-06T13:32:05.227897
Pure Uncut Adam West,Bubba Chandler,PIT,,,2025-11-06T13:32:05.227902
Pure Uncut Adam West,Trevor Megill,MIL,,,2025-11-06T13:32:05.227907
Pure Uncut Adam West,Spencer Strider,ATL,,,2025-11-06T13:32:05.227912
