fantasy_team,player_name,mlb_team,position,eligible_positions,scraped_at
I like big bunts,Bobby Witt Jr.,KC,SS,"SS, Util",2024-10-01T12:00:00
I like big bunts,Juan Soto,NYY,OF,"OF, Util",2024-10-01T12:00:00
I like big bunts,Aaron Judge,NYY,OF,"OF, Util",2024-10-01T12:00:00
I like big bunts,Gunnar Henderson,BAL,SS,"SS, 3B, Util",2024-10-01T12:00:00
I like big bunts,Tarik Skubal,DET,SP,"SP",2024-10-01T12:00:00
I like big bunts,Zack Wheeler,PHI,SP,"SP",2024-10-01T12:00:00
I like big bunts,Chris Sale,ATL,SP,"SP",2024-10-01T12:00:00
Pure uncut adam west,Shohei Ohtani,LAD,DH,"DH, Util",2024-10-01T12:00:00
Pure uncut adam west,Francisco Lindor,NYM,SS,"SS, Util",2024-10-01T12:00:00
Pure uncut adam west,Jose Ramirez,CLE,3B,"3B, Util",2024-10-01T12:00:00
Pure uncut adam west,Kyle Tucker,HOU,OF,"OF, Util",2024-10-01T12:00:00
Pure uncut adam west,Corbin Burnes,BAL,SP,"SP",2024-10-01T12:00:00
Pure uncut adam west,Logan Webb,SF,SP,"SP",2024-10-01T12:00:00
Pure uncut adam west,Dylan Cease,SD,SP,"SP",2024-10-01T12:00:00
